@relation horse-colic-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {'\'All\''}
@attribute pulse {'\'(-inf-58]\'','\'(58-inf)\''}
@attribute respiratory_rate {'\'(-inf-59]\'','\'(59-inf)\''}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {'\'All\''}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {'\'(-inf-49.5]\'','\'(49.5-inf)\''}
@attribute total_protein {'\'All\''}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {'\'All\''}
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,?,>=3,'continuous severe pain',absent,severe,?,?,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'pale cyanotic',<3,'intermittent mild pain',absent,slight,?,?,?,absent,other,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,?,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cold,normal,'dark cyanotic',>=3,depressed,absent,severe,none,>1l,'\'All\'',decreased,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'dark cyanotic',>=3,?,?,?,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,no
no,adult,?,?,?,warm,normal,'pale pink',<3,depressed,hypomotile,slight,slight,none,?,decreased,'firm feces in large intestine',?,?,?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'',?,cool,?,?,<3,?,absent,slight,slight,none,?,decreased,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
no,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,absent,'pale pink',<3,'intermittent severe pain',absent,severe,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
no,young,'\'All\'','\'(58-inf)\'',?,normal,?,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,none,slight,none,'\'All\'',increased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,?,'bright pink',<3,depressed,hypermotile,slight,none,none,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,significant,none,?,absent,'distended large intestine',?,'\'All\'',?,?,lived,no
no,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,?,'\'All\'',normal,normal,'\'(-inf-49.5]\'','\'All\'',clear,?,died,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent mild pain',absent,none,slight,>1l,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,'\'All\'',absent,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,young,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,significant,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
