@relation horse-colic.ORIG-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {2,1}
@attribute Age {1,9}
@attribute 'Hospital Number' {530101,534817,530334,5290410,530255,528355,526802,529607,530051,5299630,528548,527927,528031,5291330,534917,530233,5301220,526639,5290480,532110,530157,529340,521681,534998,533692,529518,530526,528653,5279440,535415,529475,530242,529427,529663,529796,528812,529493,533847,528996,5277410,529498,5288250,530301,534069,535407,529827,529888,529821,528890,529642,529766,527706,529483,530544,529461,5282840,528872,529640,528298,528904,530438,527957,528630,534293,529667,534885,534784,528931,529777,530276,528214,529424,5299250,528469,5292930,534092,534615,534753,530693,527463,527518,534756,5290760,5279820,529849,529304,529388,528006,529703,535381,534197,530251,530310,528729,535158,530319,534145,534135,530002,535364,534899,534938,5292490,527563,530381,528668,529764,533696,5297380,527544,533736,534963,527933,532349,533723,535208,533983,535166,528682,534556,534579,530360,529840,528461,530384,5262540,535330,527698,528964,530670,534572,530294,527524,5287180,534324,534491,529960,522979,530402,534519,535246,534115,530001,529272,535314,533793,529399,533836,528804,535163,528247,533928,528248,528134,527916,530431,535176,533942,528523,534925,528299,530254,535085,532985,527677,535292,529729,518476,527929,535130,523190,533968,528151,530239,528305,534857,534053,534833,5278330,527365,533887,5299600,528742,5287280,534788,529373,534163,533697,529628,521399,533885,534157,528047,528641,534073,529685,529528,535137,530297,535338,534478,530401,529893,5294370,528183,529183,529135,528977,535240,529736,535029,535031,528800,528178,535392,528503,5289420,535196,534597,534280,530028,528179,533750,528702,534183,529160,529045,530354,5281090,5291410,530366,530170,527709,528169,535043,527940,5291720,530561,533738,5294540,533871,529812,534719,527734,534933,529296,5305630,528743,530478,528590,529865,527829,534403,527883,528570,534626,528638,534624,5297160,534787,528620,528019,529172,534644,530624,527758,530439,5283430,5275210,5305130,529428,529126,535054,530034,534004,533902,533886,527702,529386,530612,534618,528626,527950,535263,534523,528926,534922,527642,534790,528959,534921,528999,528067,529478,529991,530033,5299050,534497,528369,530107,530505,529567,529597,534429,529629,528382,534898,529615,526090,529765,528310,529925,527807,5281440,530695,533889,533815,527664,528268,528919,527494,529980,533954,534686,534475,5274920,534156,514279,528433,527465,534268,535337,534111,530576,529930,529695,528452,534783}
@attribute 'rectal temperature' {'\'All\''}
@attribute pulse {'\'All\''}
@attribute 'respiratory rate' {'\'All\''}
@attribute 'temperature of extremities' {3,1,4,2}
@attribute 'peripheral pulse' {3,1,4,2}
@attribute 'mucous membranes' {4,3,6,1,5,2}
@attribute 'capillary refill time' {2,1,3}
@attribute pain {5,3,2,4,1}
@attribute peristalsis {4,3,1,2}
@attribute 'abdominal distension' {4,2,1,3}
@attribute 'nasogastric tube' {1,2,3}
@attribute 'nasogastric reflux' {2,1,3}
@attribute 'nasogastric reflux PH' {'\'(-inf-2.5]\'','\'(2.5-inf)\''}
@attribute 'rectal examination - feces' {3,4,1,2}
@attribute abdomen {5,2,1,3,4}
@attribute 'packed cell volume' {'\'All\''}
@attribute 'total protein' {'\'(-inf-12]\'','\'(12-inf)\''}
@attribute 'abdominocentesis appearance' {2,3,1}
@attribute 'abdomcentesis total protein' {'\'(-inf-2.05]\'','\'(2.05-inf)\''}
@attribute outcome {2,3,1}
@attribute 'surgical lesion' {2,1}
@attribute 'site of lesion' {11300,2208,0,4300,3124,3205,2124,2111,4124,2112,3207,1400,4205,3111,4122,2207,2209,1124,7111,5205,2113,9400,2305,7209,7400,3112,3209,2322,11124,3025,2205,5206,400,5000,5400,31110,2206,5124,7113,6209,3400,6112,6111,1111,2300,21110,4111,3133,5111,300,3115,9000,3300,3113,41110,11400,12208,4206,4207,8300,8400,5110,8405}
@attribute 'type of lesion' {0,1400,7111,3111,6112,3112,2208,3205}
@attribute 'subtype of lesion' {0,2209}
@attribute pathology_cp_data {2,1}

@data
2,1,530101,'\'All\'','\'All\'','\'All\'',3,3,?,2,5,4,4,?,?,?,3,5,'\'All\'','\'(-inf-12]\'',?,?,2,2,11300,0,0,2
1,1,534817,'\'All\'','\'All\'','\'All\'',?,?,4,1,3,4,2,?,?,?,4,2,'\'All\'','\'(12-inf)\'',2,'\'(-inf-2.05]\'',3,2,2208,0,0,2
2,1,530334,'\'All\'','\'All\'','\'All\'',1,1,3,1,3,3,1,?,?,?,1,1,'\'All\'','\'(-inf-12]\'',?,?,1,2,0,0,0,1
1,9,5290410,'\'All\'','\'All\'','\'All\'',4,1,6,2,2,4,4,1,2,'\'(2.5-inf)\'',3,?,'\'All\'','\'(-inf-12]\'',3,'\'(2.05-inf)\'',2,1,2208,0,0,1
2,1,530255,'\'All\'','\'All\'','\'All\'',?,?,6,2,?,?,?,?,?,?,?,?,'\'All\'','\'(-inf-12]\'',?,?,2,2,4300,0,0,2
2,1,528355,?,?,?,2,1,3,1,2,3,2,2,1,?,3,3,?,?,?,?,1,2,0,0,0,2
1,1,526802,'\'All\'','\'All\'','\'All\'',1,1,1,1,3,3,3,1,1,?,3,5,'\'All\'','\'(-inf-12]\'',?,?,1,1,3124,0,0,2
1,1,529607,?,'\'All\'',?,3,?,?,1,?,4,2,2,1,?,3,4,'\'All\'','\'(-inf-12]\'',?,?,2,1,2208,0,0,2
2,1,530051,?,'\'All\'','\'All\'',3,4,3,1,4,4,4,2,1,?,3,5,'\'All\'','\'(-inf-12]\'',?,?,3,1,3205,0,0,2
2,9,5299630,'\'All\'','\'All\'',?,1,?,1,1,5,3,1,2,1,?,3,?,'\'All\'','\'(-inf-12]\'',1,'\'(2.05-inf)\'',1,2,0,0,0,1
1,1,528548,'\'All\'','\'All\'','\'All\'',3,3,5,1,3,3,1,2,1,'\'(2.5-inf)\'',2,5,'\'All\'','\'(-inf-12]\'',2,'\'(2.05-inf)\'',1,1,2124,0,0,1
2,1,527927,'\'All\'','\'All\'','\'All\'',2,?,2,1,2,1,2,1,1,?,4,4,'\'All\'','\'(-inf-12]\'',?,?,1,1,2111,0,0,2
1,1,528031,'\'All\'','\'All\'','\'All\'',2,1,1,1,3,3,3,3,1,?,4,5,?,'\'(-inf-12]\'',?,?,1,2,4124,0,0,2
2,9,5291330,'\'All\'','\'All\'','\'All\'',1,1,2,1,1,3,2,3,?,'\'(2.5-inf)\'',1,1,'\'All\'','\'(-inf-12]\'',1,?,2,2,0,0,0,1
1,1,534917,'\'All\'','\'All\'','\'All\'',3,1,1,1,3,4,1,2,2,?,4,4,'\'All\'','\'(12-inf)\'',1,'\'(-inf-2.05]\'',1,1,2112,0,0,2
1,1,530233,'\'All\'','\'All\'','\'All\'',3,1,4,1,5,3,3,2,3,'\'(2.5-inf)\'',4,?,'\'All\'','\'(-inf-12]\'',?,?,2,1,3207,0,0,2
1,9,5301220,?,'\'All\'','\'All\'',3,3,4,2,4,4,3,3,?,?,4,5,'\'All\'','\'(-inf-12]\'',3,'\'(2.05-inf)\'',2,2,1400,0,0,1
2,1,526639,'\'All\'','\'All\'','\'All\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
1,1,5290480,'\'All\'','\'All\'','\'All\'',1,1,2,1,2,3,1,1,1,?,2,5,'\'All\'','\'(-inf-12]\'',1,?,1,1,4205,0,0,1
2,1,532110,'\'All\'','\'All\'','\'All\'',4,3,6,?,?,3,3,?,?,?,?,?,'\'All\'','\'(-inf-12]\'',?,?,1,2,0,0,0,2
1,1,530157,'\'All\'','\'All\'','\'All\'',1,1,5,2,5,4,4,3,1,?,4,4,'\'All\'','\'(-inf-12]\'',2,?,1,1,2111,0,0,2
