,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
0,Upto HSC,20.0,Yes,No,Yes,No,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Mobile
1,Hons or Grater,25.0,No,No,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
2,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,5,2,Yes,Public,Rural,Female,Yes,Computer
3,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Mobile
4,Hons or Grater,22.0,Yes,No,No,No,Rural,No,Mobile Internet,4,2,Yes,Public,Urban,Male,No,Mobile
5,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Female,No,Computer
6,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Computer
7,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
8,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
9,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
10,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,Yes,Mobile
11,Hons or Grater,24.0,Yes,,Yes,No,Urban,Yes,Broadband,6,3,No,,,,No,Computer
12,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
13,Hons or Grater,22.0,No,Yes,Yes,Yes,Rural,Yes,Broadband,3,3,Yes,Public,Rural,Female,No,Computer
14,Hons or Grater,26.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
15,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,Yes,Private,Rural,Male,Yes,Computer
16,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
17,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Mobile Internet,6,3,No,Private,Urban,Female,Yes,Mobile
18,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Female,Yes,Mobile
19,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Female,Yes,Computer
20,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
21,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
22,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,3,2,Yes,Public,Urban,Male,Yes,Mobile
23,Upto HSC,17.0,No,No,Yes,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
24,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Public,Rural,Male,Yes,Mobile
25,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Urban,Female,No,Computer
26,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Mobile
